graph_id;vertices;edges;algorithm;total_cost;operations_count;execution_time_ms
1;5;10;Prim;33,00;30;4,55
1;5;10;Kruskal;33,00;39;3,81
2;10;25;Prim;81,00;75;0,12
2;10;25;Kruskal;81,00;149;0,05
3;20;30;Prim;313,00;90;0,10
3;20;30;Kruskal;313,00;231;0,07
4;25;30;Prim;570,00;90;0,10
4;25;30;Kruskal;570,00;253;0,07
5;30;30;Prim;615,00;90;0,09
5;30;30;Kruskal;615,00;245;0,14
6;161;322;Prim;2298,00;966;1,49
6;161;322;Kruskal;2298,00;3950;0,63
7;110;220;Prim;1580,00;660;0,66
7;110;220;Kruskal;1580,00;2466;0,34
8;182;364;Prim;2730,00;1092;1,03
8;182;364;Kruskal;2730,00;4510;0,57
9;170;340;Prim;2391,00;1020;0,81
9;170;340;Kruskal;2391,00;3867;0,58
10;55;110;Prim;894,00;330;0,10
10;55;110;Kruskal;894,00;1065;0,16
11;249;498;Prim;3379,00;1494;0,50
11;249;498;Kruskal;3379,00;5880;0,54
12;175;350;Prim;2580,00;1050;0,25
12;175;350;Kruskal;2580,00;4199;0,37
13;35;70;Prim;474,00;210;0,05
13;35;70;Kruskal;474,00;660;0,09
14;112;224;Prim;1755,00;672;0,15
14;112;224;Kruskal;1755,00;2543;0,24
15;82;164;Prim;1164,00;492;0,20
15;82;164;Kruskal;1164,00;1756;0,39
16;421;505;Prim;9189,00;1515;0,57
16;421;505;Kruskal;9189,00;6430;0,90
17;559;670;Prim;12669,00;2010;0,63
17;559;670;Kruskal;12669,00;8815;0,79
18;661;793;Prim;14693,00;2379;0,96
18;661;793;Kruskal;14693,00;10512;0,92
19;838;1005;Prim;18523,00;3015;1,09
19;838;1005;Kruskal;18523,00;13517;1,27
20;823;987;Prim;17968,00;2961;1,44
20;823;987;Kruskal;17968,00;13264;1,26
21;333;399;Prim;7461,00;1197;0,50
21;333;399;Kruskal;7461,00;4916;0,48
22;641;769;Prim;14026,00;2307;1,05
22;641;769;Kruskal;14026,00;10236;1,11
23;753;903;Prim;15966,00;2709;1,06
23;753;903;Kruskal;15966,00;12046;1,07
24;390;468;Prim;8605,00;1404;0,63
24;390;468;Kruskal;8605,00;5904;0,48
25;592;710;Prim;12771,00;2130;0,92
25;592;710;Kruskal;12771,00;9397;0,72
26;1802;1801;Prim;45466,00;5403;2,46
26;1802;1801;Kruskal;45466,00;24597;2,05
27;1601;1600;Prim;40799,00;4800;1,94
27;1601;1600;Kruskal;40799,00;21841;1,57
28;1922;1921;Prim;46743,00;5763;1,74
28;1922;1921;Kruskal;46743,00;26239;1,79
